"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","html 1"
"https://yangwarakmunpanchthar.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","याङवरक गाउँपालिका, गाउँ कार्यपालिकाको कार्यालय, थर्पु, पाँचथर, १ नं. प्रदेश, नेपाल | “कृषि, वन, पर्यटन प्रवर्धन र समावेशी समाजको सृजना, समाजवाद उन्मुख दिगो विकास र समृद्ध याङवरकको चाहाना”","187","2456","","0","0","","0","लेख नाथ घिमिरे","14","कमल कुमारी योङहाङ","17","Search form","11","Search form","11","","","","https://yangwarakmunpanchthar.gov.np/","","","","","","88043","607","5.839","0","","10","1","0.130","118","83","21","21","","","","","8eed78d49f0877ef309e6bed9eca74d2","2.168","","","","","HTTP/1.1","https://yangwarakmunpanchthar.gov.np/",""
"https://yangwarakmunpanchthar.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qcj74i","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","261","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.348","","","","","HTTP/1.1","https://yangwarakmunpanchthar.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qcj74i",""
"https://aathraimun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","आठराई गाउँपालिका, गाउँ कार्यपालिकाको कार्यालय | प्रदेश नं १, तेह्रथुम, नेपाल ""राम्रो गाउँ हाम्रो गाउँ , हाम्रो आठराई समृद्ध आठराई""","130","1718","","0","0","","0","मान बहादुर लिम्बु","17","रुपा देवी कन्दङवा","17","Search form","11","Search form","11","","","","https://aathraimun.gov.np/","","","","","","143895","2092","9.943","0","","14","1","0.130","191","107","17","17","","","","","a94c0fbb0b7d4072583ca1fbf1362129","2.188","","","","","HTTP/1.1","https://aathraimun.gov.np/",""
"https://aathraimun.gov.np/width=%22100%%22","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","9982","0","0.000","1","","1","1","0.130","0","0","0","0","","","","","","0.957","","","","","HTTP/1.1","https://aathraimun.gov.np/width=%2522100%25%2522",""
"https://aathraimun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qlvzb1","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","262","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.358","","","","","HTTP/1.1","https://aathraimun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qlvzb1",""
"https://aathraimun.gov.np/sites/aathraimun.gov.np/files/styles/slickstyle/public?itok=ue1jd8-y","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","386","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.686","","https://aathraimun.gov.np/sites/aathraimun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y","HTTP Redirect","","HTTP/1.1","https://aathraimun.gov.np/sites/aathraimun.gov.np/files/styles/slickstyle/public?itok=ue1jd8-y",""
"https://aathraimun.gov.np/sites/aathraimun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y","text/html; charset=utf-8","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","11127","0","0.000","1","","1","1","0.130","0","0","0","0","","","","","","0.938","","","","","HTTP/1.1","https://aathraimun.gov.np/sites/aathraimun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y",""
"https://lekbeshimun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","लेकबेशी नगरपालिका | लेक र वेशीको संगमको आधार कृषि, शिक्षा, स्वास्थ्य र रोजगार सहितको पूर्वाधार","94","1257","","0","0","","0","गगन सिं सुनार","13","शान्ति कुमारी छन्तेल","20","Search form","11","Search form","11","","","","https://lekbeshimun.gov.np/","","","","","","96726","754","5.780","0","","10","1","0.130","142","87","25","25","","","","","4c9eca90c4b0bbdfab212981bfb0cc6","2.204","","","","","HTTP/1.1","https://lekbeshimun.gov.np/",""
"https://lekbeshimun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qrdktl","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","260","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.342","","","","","HTTP/1.1","https://lekbeshimun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qrdktl",""
"https://lekbeshimun.gov.np/sites/lekbeshimun.gov.np/files/styles/slickstyle/public?itok=ue1jd8-y","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","389","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.301","","https://lekbeshimun.gov.np/sites/lekbeshimun.gov.np/files/styles/slickstyle/public/?itok=ue1jd8-y","HTTP Redirect","","HTTP/1.1","https://lekbeshimun.gov.np/sites/lekbeshimun.gov.np/files/styles/slickstyle/public?itok=ue1jd8-y",""
